doi,year,author,title,citationCount,layer,rationale
10.1007/bf02254277,1925,Przibram,Achsenverhältnisse und Entwicklungspotenzen der Urodelenextremitäten an Modellen zu Harrisons Transplantationsversuchen,10,Layer 3,"Same phenomenon (Transplantation / replantation); different species and design. Citing: ""Observations upon the growth, function, and nerve supply of limbs when grafted t"""
10.1007/bf02263792,1910,Kammerer,Die Wirkung äußerer Lebensbedingungen auf die organische Variation im Lichte der experimentellen Morphologie,10,Layer 3,"Same phenomenon (Morphology / anatomy); different species and design. Citing: ""Feeding Experiments on tadpoles"""
10.1007/bf02263793,1910,Przibram,Die Verteilung formbildender Fähigkeiten am Tierkörper in dorso-ventraler Richtung,10,Layer 3,"Same phenomenon (Entwicklungsmechanik / experimental embryology); different species and design. Citing: ""Über die Determination der ersten Organanlagen des Amphibienembryo I–VI"""
10.1007/bf02266716,1913,Janda,FühlerÄhnliche Heteromorphosen an Stelle von Augen bei Stylopyga orientalis und Tenebrio molitor,7,Layer 1,"Modern citation engages same genus (tenebrio): ""Über Restitutionserscheinungen an Stelle von Augen bei Tenebrio-Larven nach Zers"""
10.1007/bf02266717,1913,Paul Kammerer,Vererbung erzwungener FarbverÄnderungen,34,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""A salamander’s toxic arsenal: review of skin poison diversity and function in tr"""
10.1007/bf02266718,1913,Przibram,Die Kammerprogression der Foraminiferen als Parallele zur HÄutungsprogression der Mantiden,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02266719,1913,Uhlenhuth,Die synchrone Metamorphose transplantierter Salamanderaugen,31,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Reimplantation and transplantation of adult eyes in the salamander (Triturus vir"""
10.1007/bf02266720,1913,Walther,Die Umwelt des Keimplasmas,0,none,No citations indexed in OpenAlex.
10.1007/bf02287856,1912,Hammerschlag,Zuchtversuche mit japanischen Tanzmäusen und europäischen Laufmäusen,4,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02287857,1912,Janda,Die Regeneration der Geschlechtsorgane bei Criodrilus lacuum Hoffm. I,9,Layer 2,"Same broader taxon (Annelida); different species. Citing: ""Annelids as models of germ cell and gonad regeneration"""
10.1007/bf02287858,1912,Kammerer,"Experimente über Fortpflanzung, Farbe, Augen und Körperreduction bei Proteus anguinus Laur",27,Layer 1,"Modern citation engages same genus (proteus): ""Monitoring health and reproductive status of olms (Proteus anguinus) by ultrasou"""
10.1007/bf02287859,1912,Megusar,Experimente über den Farbwechsel der Crustaceen,40,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""ENDOCRINE CONTROL IN THE CRUSTACEA"""
10.1007/bf02287860,1912,Przibram,Die Umwelt des Keimplasmas,10,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02287861,1912,Secerov,Die Umwelt des Keimplasmas,4,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02287862,1912,Congdon,The surroundings of the germ plasm,15,Layer 2,"Same broader taxon (Mammals); different species. Citing: ""Some studies of environmental influence, heredity, correlation and growth, in th"""
10.1007/bf02287863,1912,Secerov,Weitere Farbwechsel- und Hauttransplantationsversuche an der Bartgrundel (Nemachilus barbatula L.),10,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""Comparative assessment of immunological tolerance in fish with natural immunodef"""
10.1007/bf02287864,1912,Uhlenhuth,Die Transplantation des Amphibienauges,28,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Reimplantation and transplantation of adult eyes in the salamander (Triturus vir"""
10.1007/bf02288308,1907,Czerny,Versuche Über Regeneration bei Süßwasser- und Nacktschnecken,7,Layer 2,"Same broader taxon (Mollusca); different species. Citing: ""Zur Regeneration des Weichkörpers bei den Gastropoden"""
10.1007/bf02288309,1907,Kammerer,Bastardierung von Flußbarsch (Perca fluviatilis L.) und Kaulbarsch (Acerina cernua L.),9,Layer 1,"Modern citation engages same genus (perca): ""First Record of Natural Hybridization and Introgression between Pikeperch (<i>Sa"""
10.1007/bf02288310,1907,Klintz,Regeneration der Antenne bei der Kellerassel (Porcellio scaber Latr.),1,Layer 1,"Modern citation engages same genus (porcellio): ""Morphological analysis of regenerated antennae in the isopod Porcellio scaber (I"""
10.1007/bf02288311,1907,Kryz,Unabhängigkeit der Coagulationspunkte spezifischer Muskelplasmen von der Temperatur während des Lebens,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02288312,1907,Neudörfer,Versuche Über die Anpassung von Süßwasserfischen an Salzwasser,4,Layer 2,"Same broader taxon (Fishes); different species. Citing: ""The regulation of body volume in fresh‐water organisms"""
10.1007/bf02288313,1907,Hans Przibram,Differenzierung des Abdomens enthäuster Einsiedlerkrebse (Paguridae),5,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Phylogeny of the Anomala (Crustacea, Decapoda, Reptantia) based on the ossicles """
10.1007/bf02288314,1907,Przibram,Automatischer Abwurf mißbildeter Regenerate bei Arthropoden,4,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Die »Scherenumkehr« bei decapoden Crustaceen (zugleich: Experimentelle Studien ü"""
10.1007/bf02288315,1907,Przibram,"Aufzucht, Farbwechsel und Regeneration unsrer europäischen Gottesanbeterin (Mantis religiosa L.)",7,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Habitat Preference of German<i>Mantis religiosa</i>Populations (Mantodea: Mantid"""
10.1007/bf02288316,1907,Przibram,Regenerationsversuche allgemeinerer Bedeutung bei Borstenschwänzen (Lepismatidae),14,Layer 3,"Same phenomenon (Regeneration); different species and design. Citing: ""Appendage loss and regeneration in arthropods: A comparative view"""
10.1007/bf02288317,1907,Weindl,Pigmententstehung auf Grund vorgebildeter Tyrosinasen,14,Layer 3,"Same phenomenon (Pigmentation / melanin biology); different species and design. Citing: ""Das Problem der Pigmentbildung in der Haut"""
10.1007/bf02288318,1907,Weiss (Otto),Regeneration und Autotomie bei der Wasserspinne (Argyroneta aquatica Cl.),6,Layer 2,"Same broader taxon (Arachnida); different species. Citing: ""Epimorphosis and repair processes of schistomelic pedipalps and walking appendag"""
10.1007/bf02288352,1910,Brescia,Experimentelle Untersuchungen über die sekundären Sexualcharaktere der Tritonen,21,Layer 3,"Same phenomenon (Sex determination / sexual characters); different species and design. Citing: ""Seasonal study of the normal and pituitary‐stimulated frog (Rana pipiens). I. Te"""
10.1007/bf02288353,1910,Fröhlich,Farbwechselreaktionen bei Palaemon,13,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Color changes in crustaceans, especially in Palaemonetes"""
10.1007/bf02288354,1910,Halban,Die Größenzunahme der Eier und Neugeborenen mit dem fortschreitenden Alter der Mutter,7,Layer 3,"Same phenomenon (Growth / size change); different species and design. Citing: ""THE SIZE OF THE BODY AND THE SIZE OF THE ENVIRONMENT IN THE GROWTH OF TADPOLES"""
10.1007/bf02288355,1910,Kammerer,Vererbung erzwungener Farbveränderungen,5,Layer 2,"Same broader taxon (Reptilia); different species. Citing: ""Checklist of Croatian amphibians and reptiles with bibliography of 250 years of """
10.1007/bf02288356,1910,Megusar,"Regeneration der Fang-, Schreit- und Sprungbeine bei der Aufzucht von Orthopteren",14,Layer 2,"Same broader taxon (Orthoptera / Mantis); different species. Citing: ""Einige biometrische Untersuchungen zum Metamorphosegeschehen bei Acheta domestic"""
10.1007/bf02288357,1910,Przibram,Die Homoeosis bei Arthropoden,13,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02288358,1910,Winkler,Studien über Pigmentbildung,26,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""The regulation of skin‐pattern in an amphibian, Diemyctylus"""
10.1007/bf02288359,1910,Zuelzer,Der Einfluß des Meerwassers auf die pulsierende Vacuole,9,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292159,1907,Gluschkiewitsch,Regeneration des Vorder- und Hinterendes der Clepsine tessulata,2,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292160,1907,Paul Kammerer,Vererbung erzwungener Fortpflanzungsanpassungen,34,Layer 3,"Same phenomenon (Inheritance of acquired characteristics); different species and design. Citing: ""&amp;#8220;Centric&amp;#8221; and &amp;#8220;Excluding&amp;#8221; Conceptions of"""
10.1007/bf02292161,1907,Kammerer,Symbiose zwischen Libellenlarve und Fadenalge,5,Layer 4,"Modern engagement exists but does not align on species, taxon, or phenomenon; abstract logic only."
10.1007/bf02292162,1907,Kammerer,Regeneration sekundärer Sexualcharaktere bei den Amphibien,5,Layer 2,"Same broader taxon (Amphibia); different species. Citing: ""Equilibrium of animal form"""
10.1007/bf02292163,1907,Klintz,Versuche über das geringe Regenerationsvermögen der Cyclopiden,3,Layer 2,"Same broader taxon (Crustacea); different species. Citing: ""Die Vererbung von Abnormitäten bei Cyclops"""
10.1007/bf02292164,1907,Megusar,Regeneration der Tentakel und des Auges bei der Spitzschlammschnecke (Limnaea stagnalis L.),5,Layer 2,"Same broader taxon (Mollusca); different species. Citing: ""Zur Regeneration des Weichkörpers bei den Gastropoden"""
